Business_ID,Review_ID,Text,Review_Rating,Time_Created,User_Name
Dn04j5YabUDWS7nUbpfZGg,A0dyOENY1NRjJG7NwALKNQ,"Dropped off my bike for a quick tube change this week. They seem very busy and were too busy to do it last week, which was disappointing. But, calling in...",5,2020-07-23 10:42:32,Alex W.
Dn04j5YabUDWS7nUbpfZGg,stRgQAb4X-oACKdrlHiXNw,I was walking down H St the other day and saw a sign posted on The Daily Rider door with very detailed instructions on how to make an appointment and the...,5,2020-08-12 12:06:47,Tracey BlaqueButterfly G.
Dn04j5YabUDWS7nUbpfZGg,M3_-ncXEuJTR3FsjHWexkw,"I've had consistently first-rate experiences with The Daily Rider. They communicate responsively and insightfully via text and phone, plus have a smooth...",5,2020-08-29 12:37:37,Walter T.
yGJ5jSQPSqp8i5rojSJnHQ,iYmvxaTg8dvDm1XNnt7GCw,My tube blew right at the beginning of my ride today (and I was worried no one would be open to fix it due to COVID) but luckily I was only a few blocks...,5,2020-05-16 18:02:30,Ian C.
yGJ5jSQPSqp8i5rojSJnHQ,u7ReWbbVl1oFl0mNWBcngg,Hands down the best bicycle shop in the city. The staff is friendly and extremely helpful. Their prices are reasonable and the service is undeniably...,5,2021-02-24 06:25:51,Rachel D.
yGJ5jSQPSqp8i5rojSJnHQ,3LKpnci7JGUl209WXhjtiQ,"Just went to Gearin Up to get my bike seat post replaced, it was quick and the price was really good!",5,2021-05-07 13:03:31,Bindi J.
ATpgglOwwQUno5QhAEXc2g,k6qaZxTuu2fzw_GMn3X3oQ,"Bought a bike here in February (with a shortage going on) and they made a great recommendation and built it fast. Then, when I had an issue shifting gears a...",5,2021-03-23 17:46:22,Steve C.
ATpgglOwwQUno5QhAEXc2g,Vb7KeUt4PaK0hWPaIUKuwQ,"I've been a customer for various small bike issues/service at all of the previous Bicycle Space locations (broken wheels, brakes, BBs, etc.).  Unfortunately...",1,2021-04-12 21:28:44,Jacob W.
ATpgglOwwQUno5QhAEXc2g,2J0_vCUztkDsxP29BN8bRg,What a terrible experience! Customer Care is based upon the color of your skin in this establishment. I was second in line and the owner skipped over to me...,1,2021-05-02 13:17:08,Devin Q.
2q9eO68Q-PDAUUfdx-zvqw,bAe13H8laEJoCVOTZZnUeg,"These folks are excellent.  I just visited them at the Bloomingdale Farmer's Market, and they helped me put some slant risers on my Boosted Mini X...",5,2019-07-07 12:37:14,Frankie V.
2q9eO68Q-PDAUUfdx-zvqw,rk8dmMdFxiUozoCqxlb0nQ,I LOVE everything about this organization. Andrew was knowledgeable and extremely patient and willing to instruct with both visual and verbal cues. The...,5,2019-06-29 12:54:27,S A.
2q9eO68Q-PDAUUfdx-zvqw,ieDjgCxvM6aewS8QrCbpmQ,"So happy to have The Bike House coop nearby!  I bring my bike here a few times a year to do routine maintenance like truing wheels, tightening brakes, and...",5,2017-07-23 14:50:53,J R.
3tbIAR6xTrgSRO3m2da0Vg,_s3wuExOmy_m5izsOFW8EQ,"Conte's Bike Shop is good people. During COVID-19, I joined a long line of customers safely waiting to get their bikes fixed. Not only did they have an...",5,2020-05-25 12:43:37,Austin G.
3tbIAR6xTrgSRO3m2da0Vg,sg_4YsJb3xagnM1sHBkwGA,I am a new bike rider and the staff here is very patient and informative. Huge plus for their great social distancing protocols as well. They allow limited...,5,2020-06-13 05:58:47,Hilary W.
3tbIAR6xTrgSRO3m2da0Vg,rknQVnR5UnjjotNvTfhcXQ,Great customer service. I went to this shop as I was riding thru the city and was able to get what I needed and the guy put the phone holder on for me.,5,2021-01-26 12:58:08,Tracey BlaqueButterfly G.
F0fMNrrBU3OKMdwfCL5mRA,j3DK_KjJZ6HTEtnWOWffDg,"Fantastic! Between work, toddler, and crazy times, finding a suitable slot to get one of our bikes tuned up felt next to impossible. Especially because it...",5,2021-03-04 12:36:17,K B.
F0fMNrrBU3OKMdwfCL5mRA,rFaDxdys5VhmdN70xBY_9A,"Affordable & honest! I love supporting a local woman owned business. 

You schedule online for an available time & they come to you (right on time). If you...",5,2020-10-26 16:42:30,Jackie V.
F0fMNrrBU3OKMdwfCL5mRA,7yptvHpKQvPzGMl0IWruZg,"This is a dream come true during COVID times - a personal bike mechanic that comes to you, does the repairs in a safe environment and provides educational...",5,2020-08-09 17:26:27,Steve F.
dEUQ7Of8leYhaRF12qTswQ,mXaZaakKxQE0G3NtXzbiYw,"I've only been to Takoma Bicycle once, and haven't even seen the inside of the store, but was so impressed that I immediately wanted to give them five...",5,2021-04-05 12:26:49,Deborah H.
