Business_ID,Review_ID,Text,Review_Rating,Time_Created,User_Name
Y2vbaQdhP6ALJrhGYpkFQg,R0GZZ0CxF1OoTjnb8oNGMA,I received an older bike from a family friend and was looking to get it fixed and have a few new parts put in. Ben and Andrea were extremely helpful and had...,5,2021-04-08 17:03:31,Daniel S.
Y2vbaQdhP6ALJrhGYpkFQg,CiwJOThwBgSZm7vmCwouyA,"Bought a bike during the pandemic , very nice & friendly couple that own the store, it's like a neighborhood store ,  everyone knows them, will definitely...",5,2021-04-17 04:39:07,Mike A.
Y2vbaQdhP6ALJrhGYpkFQg,i4bsoF--F66OoMfTcemFEQ,"Ben and Andrea are very friendly and knowledgeable, and I love the bike I got here. It also came with free adjustments for a year. This is also the only...",5,2021-04-16 09:57:56,Evan W.
n4YHCDxWp07DicFxOcLzlw,Mh5quj_uzCtelAiW8TeklA,Just moved to NYC and needed to service my bike. These guys are the best! Will now be my go to place for service and parts. I had been riding my bike with...,5,2020-09-09 10:15:12,Anat s.
n4YHCDxWp07DicFxOcLzlw,NVUyhsB4bVp_DMWtFH_4dA,"So glad I found this bike shop!  I went to several bike shops on my recent quest to buy an e-bike for commuting during the pandemic, and this shop was by...",5,2020-11-18 21:58:50,Sam R.
n4YHCDxWp07DicFxOcLzlw,AxxZGDzZJiXJIQldqqEyPQ,This place is amazing! I really wanted a bike to help me get some fresh air and exercise during COVID lockdown. I emailed 4 bike shops to see if any would...,5,2020-04-22 19:09:25,Hannah K.
XnBflxEeUp0C-MefpSSTMg,N0sir8Ov9etmOqpFKwMawg,I've been going here for a while and what I like about these guys is they're your honest neighborhood bike shop. They don't gouge you and the turn around...,5,2020-12-07 05:17:54,Dave B.
XnBflxEeUp0C-MefpSSTMg,a1M9QK3i8UKQvS8GJPfReQ,"Fine if you need a quick, easy repair or adjustment. They do stuff pretty cheap.

Avoid the ""overhaul"" service though. I thought I'd give them a chance, but...",1,2021-04-22 11:04:19,Ike F.
XnBflxEeUp0C-MefpSSTMg,38cEBy-w9wSa39btli1UTQ,Very friendly staff and speedy service. I rent a bike for a full day for only $20. Highly recommended! They open from $10am to $6pm on Sunday.,5,2020-10-11 11:39:15,Jessie L.
HdEwDk5wyjaLIvuhG9Awrw,PX0N3ih7ZQMOutmf7pzMhA,Have had many visits especially with all the extra bike riding during the pandemic. The owner is always busy but will stay late to fix my bikes.  Very...,5,2020-12-14 16:36:12,K G.
HdEwDk5wyjaLIvuhG9Awrw,oPK4RtscYYrwNwqRws4pig,"What an amazing store with amazing owners! I was biking through the city the other week and realized my handlebars were coming loose, causing my wheel to...",5,2021-05-04 19:15:28,Jared S.
HdEwDk5wyjaLIvuhG9Awrw,vzBxW6VHEGSeVdFPeWvkqA,"Pat does an amazing job fixing bikes and prices are very reasonable. Support a local small business, don't order on line.",5,2021-05-08 14:06:01,Home E.
wN6qVSygUdRPWblnyqW3mQ,gr2EiGs0DhSaSkAwSPtmJQ,I ordered and pre-paid for a bike here during the pandemic. It turns out they were actually out of stock even though the item was listed in stock. I wasn't...,5,2020-05-05 20:15:30,Andrea R.
wN6qVSygUdRPWblnyqW3mQ,xb-WAPhr6OQj7MAOxUM0Xw,"Best bike shop I've ever used. Friendly, thorough and stands behind their work. I've followed Imbert from his small shop to his shop now on 72nd Street....",5,2020-06-21 18:30:36,Philip L.
wN6qVSygUdRPWblnyqW3mQ,eNSfmZu5RWey0RiUuugsUw,I brought my bike in for a tune up and they did an awesome job. I think my bike works better now than when I first bought it. I will definitely return for...,5,2021-01-27 06:30:59,Flo E.
gyd5P7rsmQJNVi2iefqxBQ,5SoQeebRKylE4cHR-CBF-A,So a great friend recommend this place and took care of exactly what I needed. Order my bike parts for me and in days everything arrived and got it...,5,2020-10-17 15:38:41,John M.
gyd5P7rsmQJNVi2iefqxBQ,j6oh5odEaAfQqAi9480Ptw,"I bought my bike here a few years ago.  I wasn't riding much, then WHAMMO!  Covid19 hit, the gym was closed, and after a few weeks of being home I decided...",5,2020-08-07 14:00:36,Tammy B.
gyd5P7rsmQJNVi2iefqxBQ,qA__G9lrKleoYrpziKLaaA,"I've dropped my beloved Surly Long Disc Trucker for small mid ride repairs a couple of times and these folks are great. Courteous, professional, helpful and...",5,2020-12-27 12:41:24,Michael D.
fp-zSkRVDQtqQqOjgQrm3Q,-dhdfTP2w5nhMaJZMbO8bA,Great staff. Really helpful to a novice rider like me. Will be back for sure. Recommend.,5,2021-01-30 10:10:11,B R.
fp-zSkRVDQtqQqOjgQrm3Q,I81hmLRrY7rF757xOHGiTQ,"Got a bike tune up and some repairs. 
I was very happy with the service and the outcome.
They went above and beyond to make sure I was happy, and even fixed...",5,2020-08-12 19:03:09,Alison S.
fp-zSkRVDQtqQqOjgQrm3Q,dJ3b_5E1xDy6_XEZ_wtBLw,"I brought my 15 year old bike that had been gathering dust to conrads for a tune up and some small additions. They did a great great job, got it done in...",5,2020-06-29 05:36:59,Alexandra S.
6-8mPcAw_E6nw8iq5rLnCg,PEQ-a3wwTAS_74BiPka1KQ,I got a flat in the pouring rain and called the closest shop for a quick fix. I dropped my bike with them and they fixed me right up while I went to buy dry...,5,2020-07-29 15:20:04,Elena V.
6-8mPcAw_E6nw8iq5rLnCg,GoLOrO3WHqLdGKzlOUnW9g,I dropped my Ritchey Breakaway off last week for a platinum service. I called ahead and explained exactly what I was looking to get done on my bike and went...,1,2021-04-21 06:15:33,Eddie R.
6-8mPcAw_E6nw8iq5rLnCg,00bGCkll4X2H6UgmvETMtg,"Sid's Bikes is a SHADY business with a D+ Rating on the Better Business Bureau website. Look it up and type in ""Sids Bikes NYC.""

This incident took place...",1,2020-10-25 15:44:11,Max G.
Lop47NYZAv6i9ooB8UfkLA,etISa3afEmcqyDEJgduJ2A,"NYC Velo is a gem! It's a great bike shop with a very knowledgeable, helpful and friendly staff. I'm new to NYC (by way of Los Angeles) and was in need of...",5,2020-07-12 15:09:25,David S.
Lop47NYZAv6i9ooB8UfkLA,yf9Kx01OIvs6hBb-8UAGgw,"Went to NYC Velo after getting clipped by a car.  They were responsive, knowledgeable, courteous and thorough.  Best of all, they were super chill and a...",5,2020-07-28 10:23:21,J H.
Lop47NYZAv6i9ooB8UfkLA,4Wz9FCUrwbPFqhAUiZ081A,"This is the most amazing bike shop I have ever been to, and I've been riding in NYC for 33 years.
They have always taken care of me, from finding me a...",5,2020-08-02 10:32:07,Salley M.
hiqIh1pCiQFKI4jTPbJ47g,Flt9YU1YQ5LmVi70X1SAPg,"This store is amazing. The staff have all gone above and beyond through the pandemic as essential workers, serving myself and the community with incredible...",5,2020-10-28 19:20:29,Tim F.
